;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;
1411;2390;85039;62302239;85038;32803139;24.09.2015 19:11;Если 41 депутат счёл не указанное в законе событие основанием для лишения мандата, законно ли их решение?;1;Б4;1
1412;2391;85040;3301319;85038;32803139;24.09.2015 19:34;Как можно рассуждать о законности? Как 41 человек может лишить мандата депутата, избранного тысячами голосов?;9;Б4;2
1413;2392;85041;193797;85038;32803139;24.09.2015 19:34;[id62302239|Максим], нет. Такие решения требуют изменения конституции. Иначе любая партия с большинством в парламенте могла бы просто всех остальных парламентариев оттуда убрать. Впрочем, ЕдРо так и делает в реально оппозиционными депутатами - см. Гудкова например;5;Ч4;3
1414;2393;85042;62302239;85038;32803139;24.09.2015 19:43;[id193797|Алексей], а если Конституционный суд в случае обращения к нему, как обычно, не увидит в этом проблемы?;0;Т4;4
1415;2394;85043;193797;85038;32803139;24.09.2015 19:44;[id62302239|Максим], я не юрист. Кстати интересно, Гудков обращался в него? Ведь тот по идее должен на его сторону встать;0;А3;4
1416;2395;85044;165131127;85038;32803139;24.09.2015 20:06;Гниды едросовские!;0;Л4;4
1417;2396;85046;19353280;85038;32803139;24.09.2015 21:22;Друзья! А почему незаконно?<br>Согласно пп. б п. 1 ст. 4 Закона Псковской обл.  О статусе депутата Псковского областного Собрания депутатов  (далее Закон) полномочия депутата Собрания прекращаются досрочно в случае несоблюдения ограничений, связанных с осуществлением депутатами Собрания депутатской деятельности, установленных федеральными законами и настоящим Законом.<br>В соответствии с п. 3 ст. 7 этого же Закона в случае, если деятельность депутата Собрания осуществляется на профессиональной постоянной основе, указанный депутат Собрания не может участвовать в качестве защитника или представителя (кроме случаев законного представительства) по гражданскому или уголовному делу либо делу об административном правонарушении.;0;Ф4;1
1418;2397;85048;2102258;85038;32803139;25.09.2015 0:31;[id19353280|Дмитрий], а там пописана процедура, как они  прекращаются досрочно ?;0;А3;3
1419;2398;85049;19353280;85038;32803139;25.09.2015 1:12;[id2102258|Даниил], процедура установлена в п. 2 ст. 4 Закона:<br> Решение о досрочном прекращении полномочий депутата Собрания в случаях, предусмотренных пунктами  а  -  е  настоящей статьи, принимается Собранием и оформляется постановлением Собрания. Полномочия депутата Собрания прекращаются со дня, определяемого таким постановлением .<br>Насколько я понял, процедурных нарушений тоже не было. http://docs.cntd.ru/document/924016528;0;И4;2
1420;2399;85050;44991606;85038;32803139;25.09.2015 1:18;[id19353280|Дмитрий], нужно проверить эти пункты на конституционность. увольнять депутата должны его работодатели - избиратели.;0;Ч4;3
1421;2400;85051;1331197;85038;32803139;25.09.2015 1:44;Мда, обидно. До этого момента, я знал, что пересечение множеств приличных людей и депутатов - не пусто.;0;Ч4;3
1422;2401;85052;2668694;85038;32803139;25.09.2015 5:46;http://kommersant.ru/doc/2817281;0;;
1423;2402;85053;5156359;85038;32803139;25.09.2015 10:44;[id193797|Алексей], наверно, так и будет, раз в Пскове можно, то почему другим нельзя?;0;У4;4
1424;2403;85054;1741219;85038;32803139;25.09.2015 10:49;[id19353280|Дмитрий], взгляни на п.2 ст.4 Закона Псковской области в системной связи со статьей 7, в частности, с пунктами 2 и 5, согласованные с Федеральным законом №184-ФЗ  Об общих принципах... организации органов... субъектов РФ , в которых явно указаны ограничения, нарушение которых влечет досрочное прекращение депутатских полномочий. Иное толкование п.2 ст.4 противоречило бы Федеральному закону №184-ФЗ, устанавливающему закрытый перечень ограничений, связанных с депутатской деятельностью, и ответственность в виде досрочного прекращения полномочий за нарушение некоторых из них.<br><br>Статья 7 областного закона перечисляет ограничения, связанные с деятельностью депутата, и явно указывает на те ограничения, нарушение которых является основанием для досрочного прекращения полномочий депутата. Представительство в суде к ним не относится.<br><br>Я вижу в этой ситуации еще одну проблему. Фактически, законодательный (представительный) орган субъекта РФ подменяет собой судебную власть, самостоятельно устанавливая наличие или отсутствие оснований для досрочного прекращения полномочий. В 2002 г. было вынесено постановление Конституционного Суда, которое повлекло изменение законодательства о местном самоуправлении. Сейчас основанием для отзыва муниципального депутата могут служить противоправные решения или действия в случае их подтверждения в судебном порядке. В случае с прекращением полномочий депутата Псковского областного собрания факт нарушения ограничений устанавливался не судом, а самим собранием. Возможно тут может быть аналогия с  делом Злобина, Хнаева , хоть и не уверен.;3;Р4, И4;4
1425;2404;85055;5156359;85038;32803139;25.09.2015 10:54;[id19353280|Дмитрий], вы никогда не забывайте, что при Сталине людей расстреливали и гноили тоже по закону. Вам такие законы напишут, что мама не горюй и что , нам всем их надо соблюдать и молиться на них? А главное кто пишет эти законы? Кто они сами эти депутаты? Мы же всё знаем про их выборы.;2;Щ4;4
